date,overview,office,reviewer,status,result,actions,url
2020-06-22,Denuncia contra Ministro de Salud por transgresión a LEG (denuncia de personal médico),Ministerio de Salud,Tribunal de Ética Gubernamental,En trámite,No definido,1,https://alac.funde.org/complains/5f18a348a30f9895d619b588
2020-06-25,Denuncia ante el TEG contra directiva Bandesal ,Banco de Desarrollo de El Salvador ,Banco de Desarrollo de El Salvador ,En trámite,No definido,2,https://alac.funde.org/complains/5f31b3e3eacc34ab4ead26a4
2020-06-26,Denuncia ante el TEG contra ex ministra de salud Orellana,Ministerio de Salud,Tribunal de Ética Gubernamental,Cerrada,Desfavorable,3,https://alac.funde.org/complains/5f31b985eacc34ab4ead2d3b
2020-09-25,Denuncia contra Presidente de la República y Ministro de Agricultura frente al TEG por retraso en procedimientos administrativos,Ministerio de Agricultura y Ganadería,Tribunal de Ética Gubernamental,En trámite,No definido,1,https://alac.funde.org/complains/5f6e2037b7692ee3d2990cd3
2020-10-14,Proceso sancionatorio: registros contables y auditorias de tiendas de centros penitenciarios-ASOCAMBIO,Dirección General de Centros Penales ,Instituto de Acceso a la Información Pública,En trámite,No definido,2,https://alac.funde.org/complains/5f88ba77471d0287b075b9fc
2020-10-16,Denuncia por infracción ética a Director de la PNC,Policía Nacional Civil,Tribunal de Ética Gubernamental,En trámite,No definido,0,https://alac.funde.org/complains/5f8a0dc3471d0287b075e615
2020-10-28,"Denuncia contra oficial de información, GABRIELA NOEMY GÁMEZ AGUIRRE, (Proceso sancionatorio IAIP)",Presidencia de la República,Instituto de Acceso a la Información Pública,En trámite,No definido,2,https://alac.funde.org/complains/5f99d495bb7da8d5539a4654
2020-10-27,Demanda CA contra Presidente de la República (Elección Presidente BCR),Banco Central de Reserva,Corte Suprema de Justicia,En trámite,No definido,0,https://alac.funde.org/complains/5f9f94f38ad34f5dd11c7caf
2020-10-07,Apelación y procesa sancionatorio BANDESAL,Banco de Desarrollo de El Salvador ,Instituto de Acceso a la Información Pública,En trámite,No definido,0,https://alac.funde.org/complains/5f9f986d8ad34f5dd11c8175
2020-11-03,Denuncia contra Concejo de Ministros (sancionatorio) ,Presidencia de la República,Instituto de Acceso a la Información Pública,En trámite,No definido,0,https://alac.funde.org/complains/5fa21ed58ad34f5dd11d0c3a
2020-11-03,Denuncia contra OIR - Alcaldía de Usulután (sancionatorio),Alcaldía Municipal de Usulután,Instituto de Acceso a la Información Pública,En trámite,No definido,5,https://alac.funde.org/complains/5fa223908ad34f5dd11d0d8a
2020-11-03,Denuncia OIR -ISRI (Proceso sancionatorio IAIP),Instituto Salvadoreño de Rehabilitación Especial,Instituto de Acceso a la Información Pública,En trámite,No definido,2,https://alac.funde.org/complains/5fa2e5ca8ad34f5dd11d38e6
2020-09-21,Flujo de la caja fiscal de enero a julio de 2020 (Apelación),Ministerio de Hacienda,Instituto de Acceso a la Información Pública,En trámite,No definido,0,https://alac.funde.org/complains/5fa4682a8ad34f5dd11d7b88
2020-11-09,Denuncia contra Ministro de Salud (Sancionatorio IAIP),Ministerio de Salud,Instituto de Acceso a la Información Pública,En trámite,No definido,2,https://alac.funde.org/complains/5fa98bd08ad34f5dd11e46d0
2020-11-11,Demanda CCA solicitando se declare ilegal reversión de criterio sobre adendas patrimoniales (Contra IAIP),Instituto de Acceso a la Información Pública,Corte Suprema de Justicia,Cerrada,No definido,0,https://alac.funde.org/complains/5fac6fd78ad34f5dd11f4cf0
